'number', 'chromosome', 'start', 'stop', 'maker_name', 'DNA_left', 'DNA_intra', 'DNA_right', 'LTR_left', 'LTR_intra', 'LTR_right', 'Unknown_left', 'Unknown_intra', 'Unknown_right', 'LINE_left', 'LINE_intra', 'LINE_right', 'MULE_left', 'MULE_intra', 'MULE_right', 'Gypsy_left', 'Gypsy_intra', 'Gypsy_right', 'Unknown_fam_left', 'Unknown_fam_intra', 'Unknown_fam_right', 'CMC_EnSpm_left', 'CMC_EnSpm_intra', 'CMC_EnSpm_right', 'Copia_left', 'Copia_intra', 'Copia_right', 'None_left', 'None_intra', 'None_right', 'hAT_left', 'hAT_intra', 'hAT_right', 'PIF_Harbinger_left', 'PIF_Harbinger_intra', 'PIF_Harbinger_right', 'prox_left', 'prox_right', 'they_are_inside', 'length'
30,'Fvb2-1',285239,286648,'maker-Fvb2-1-augustus-gene-2.39',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,0,920
31,'Fvb2-1',288968,292786,'maker-Fvb2-1-augustus-gene-3.32',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,0,1902
32,'Fvb2-1',293411,301341,'maker-Fvb2-1-augustus-gene-3.28',0,0,0,0,0,0.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,447,0,3658
33,'Fvb2-1',302832,304922,'maker-Fvb2-1-augustus-gene-3.33',0.868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.868,0,0,0,0,0,65,None,0,692
34,'Fvb2-1',305458,307367,'snap_masked-Fvb2-1-processed-gene-3.24',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,0,720
35,'Fvb2-1',305591,305935,'augustus_masked-Fvb2-1-processed-gene-3.2',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,0,345
36,'Fvb2-1',308313,315284,'maker-Fvb2-1-snap-gene-3.44',0,0,0,0,0.4236947791164658,0,0,0,0,0,0,0,0,0,0,0,0.4236947791164658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,3,2134
37,'Fvb2-1',316409,319724,'maker-Fvb2-1-augustus-gene-3.35',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,0,1235
38,'Fvb2-1',322516,323105,'maker-Fvb2-1-snap-gene-3.46',0,0,0,1.0,1.159322033898305,0.58,0,0,0,0,0,0.348,0,0,0,1.0,0.39152542372881355,0,0,0.7677966101694915,0.58,0,0,0,0,0,0,0,0,0.348,0,0,0,0,0,0,0,325,0,486
39,'Fvb2-1',324024,324553,'maker-Fvb2-1-augustus-gene-3.36',0,0,0,0,0,0,0,0,0,0.7959999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7959999999999999,0,0,0,0,0,0,0,0,89,None,0,456
40,'Fvb2-1',332911,334642,'maker-Fvb2-1-snap-gene-3.38',0,0,0,0.694,0.4053117782909931,0.626,0,0,0,0,0,0,0,0,0,0,0.4053117782909931,0.626,0.694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,265,1,1434
41,'Fvb2-1',366882,370605,'maker-Fvb2-1-augustus-gene-3.30',0,0,0,0.694,0.03732545649838883,0,0,0,0,0,0,0,0,0,0,0,0,0,0.694,0.03732545649838883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,None,1,2151
42,'Fvb2-1',372651,375860,'maker-Fvb2-1-snap-gene-3.40',0,0,0,0,0.08130841121495327,0.206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206,0,0,0,0,0.08130841121495327,0,0,0,0,0,0,0,0,0,0,None,396,1,1777
43,'Fvb2-1',379713,380351,'maker-Fvb2-1-snap-gene-3.41',0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,None,484,0,239
44,'Fvb2-1',382116,384430,'maker-Fvb2-1-augustus-gene-4.39',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,0,1714
45,'Fvb2-1',385430,388235,'snap_masked-Fvb2-1-processed-gene-4.18',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,0,1224
46,'Fvb2-1',389384,392027,'maker-Fvb2-1-augustus-gene-4.40',0,0,0.202,0,0.029122541603630862,0,0,0,0,0,0,0,0,0,0.202,0,0,0,0,0,0,0,0,0,0,0.029122541603630862,0,0,0,0,0,0,0,0,0,0,None,491,1,1443
47,'Fvb2-1',394209,395243,'augustus_masked-Fvb2-1-processed-gene-4.0',0,0,0,1.416,0.5381642512077295,1.1960000000000002,0,0,0,0,0,0,0,0,0,0.76,0,0.646,0.656,0.5381642512077295,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,176,0,651
48,'Fvb2-1',396026,398030,'maker-Fvb2-1-snap-gene-4.42',0,0,0,1.34,0.6872817955112219,0,0,0,0,0,0,0,0,0,0,1.0,0.32668329177057354,0,0.34,0.3605985037406484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,2,1062
49,'Fvb2-1',402461,406284,'maker-Fvb2-1-snap-gene-4.43',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,0,1905
50,'Fvb2-1',422628,423206,'augustus_masked-Fvb2-1-processed-gene-4.10',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,0,579
51,'Fvb2-1',438404,440326,'augustus_masked-Fvb2-1-processed-gene-4.11',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,0,1923
52,'Fvb2-1',449589,449909,'snap_masked-Fvb2-1-processed-gene-4.33',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,0,321
53,'Fvb2-1',459551,460721,'snap_masked-Fvb2-1-processed-gene-4.22',0,0,0,0.276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,361,None,0,198
54,'Fvb2-1',463689,467375,'augustus_masked-Fvb2-1-processed-gene-4.5',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,0,3687
55,'Fvb2-1',467390,468209,'snap_masked-Fvb2-1-processed-gene-4.24',0,0,0,0,0.11951219512195121,0.424,0,0,0.486,0,0,0,0,0,0,0,0,0,0,0.11951219512195121,0.9099999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,155,0,255
56,'Fvb2-1',468854,469270,'augustus_masked-Fvb2-1-processed-gene-4.13',0,0,0,0.392,0.014388489208633094,0.54,0.486,0,0,0,0,0,0,0,0,0,0,0,0.878,0.014388489208633094,0.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,397,0,417
57,'Fvb2-1',471505,471831,'snap_masked-Fvb2-1-processed-gene-4.34',0.506,0,0.854,0,0,0,0,0,0,0,0,0,0.506,0,0.854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,72,0,327
58,'Fvb2-1',482512,483093,'augustus_masked-Fvb2-1-processed-gene-5.1',0.302,0,0,0,0,0.866,0,0,0,0,0,0,0,0,0,0,0,0.866,0.302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,66,0,582
59,'Fvb2-1',485173,486748,'snap_masked-Fvb2-1-processed-gene-4.30',0.188,0,0,0,0.5780456852791879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5780456852791879,0,0,0,0,0,0,0,0,0,0,0.188,0,0,0,0,0,196,None,1,450
60,'Fvb2-1',487664,488221,'augustus_masked-Fvb2-1-processed-gene-5.2',0,0,0.346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,194,0,558
61,'Fvb2-1',489338,492043,'snap_masked-Fvb2-1-processed-gene-5.25',0.786,0.803030303030303,0.504,0,0,0,0,0,0,0,0,0,0.19,0.6160384331116038,0,0,0,0,0.596,0.15631929046563192,0.504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,6,561
62,'Fvb2-1',491751,492071,'augustus_masked-Fvb2-1-processed-gene-5.0',0.642,0,0.504,0,0,0,0,0,0,0,0,0,0.642,0,0,0,0,0,0,0,0.504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,95,0,321
63,'Fvb2-1',497715,498185,'augustus_masked-Fvb2-1-processed-gene-5.3',0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,494,None,0,471
64,'Fvb2-1',500198,501723,'maker-Fvb2-1-augustus-gene-5.62',0.136,0,0,0,0,0.678,0,0,0,0,0,0,0,0,0,0,0,0.678,0,0,0,0,0,0,0,0,0,0,0,0,0.136,0,0,0,0,0,431,160,0,891
65,'Fvb2-1',503899,512885,'maker-Fvb2-1-snap-gene-5.82',0,0,0,1.0,0.01791476577278291,0,0,0.19038611327473015,0,0,0,0,0,0,0,1.0,0.01791476577278291,0,0,0.19038611327473015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,2,3712
66,'Fvb2-1',506073,506297,'snap_masked-Fvb2-1-processed-gene-5.28',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,0,225
67,'Fvb2-1',509658,509927,'augustus_masked-Fvb2-1-processed-gene-5.4',0,0,0,0,0,0,0.21,0,0,0,0,0,0,0,0,0,0,0,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,394,None,0,270
68,'Fvb2-1',514846,516638,'maker-Fvb2-1-augustus-gene-5.65',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,0,1328
69,'Fvb2-1',518729,521224,'maker-Fvb2-1-augustus-gene-5.66',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,0,1681
70,'Fvb2-1',521531,525633,'maker-Fvb2-1-augustus-gene-5.67',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,0,2058
71,'Fvb2-1',526570,527735,'snap_masked-Fvb2-1-processed-gene-5.29',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,0,210
72,'Fvb2-1',531147,531416,'snap_masked-Fvb2-1-processed-gene-5.30',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,0,270
73,'Fvb2-1',531739,534316,'maker-Fvb2-1-augustus-gene-5.68',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,0,669
74,'Fvb2-1',534978,538435,'maker-Fvb2-1-augustus-gene-5.69',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,0,1998
75,'Fvb2-1',538477,538908,'snap_masked-Fvb2-1-processed-gene-5.50',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,0,432
76,'Fvb2-1',543330,545932,'maker-Fvb2-1-augustus-gene-5.70',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,0,2494
77,'Fvb2-1',547252,551939,'maker-Fvb2-1-augustus-gene-5.71',0,0,0,0,0,0.41,0,0,0,0,0,0,0,0,0,0,0,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,294,0,1256
78,'Fvb2-1',556727,564984,'maker-Fvb2-1-augustus-gene-5.54',0,0,0,0.136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,431,None,0,4338
79,'Fvb2-1',565720,567757,'augustus_masked-Fvb2-1-processed-gene-5.7',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,0,1731
80,'Fvb2-1',568964,572548,'maker-Fvb2-1-augustus-gene-5.58',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,0,1528
81,'Fvb2-1',573424,574949,'maker-Fvb2-1-augustus-gene-5.60',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,0,516
82,'Fvb2-1',576275,576664,'augustus_masked-Fvb2-1-processed-gene-5.21',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,0,390
83,'Fvb2-1',576336,576536,'snap_masked-Fvb2-1-processed-gene-5.39',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,0,201
84,'Fvb2-1',579297,588435,'maker-Fvb2-1-augustus-gene-5.72',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,0,5774
85,'Fvb2-1',606901,610630,'snap_masked-Fvb2-1-processed-gene-6.9',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,0,1101
86,'Fvb2-1',646816,648659,'snap_masked-Fvb2-1-processed-gene-6.21',0,0,0,0.014,0.0027114967462039045,0.28200000000000003,1.0,0.2955531453362256,0,0,0,0,0,0,0,0,0,0,1.0,0.2955531453362256,0,0,0,0,0.014,0.0027114967462039045,0.28200000000000003,0,0,0,0,0,0,0,0,0,0,454,0,216
87,'Fvb2-1',658224,663299,'maker-Fvb2-1-augustus-gene-6.25',0,0,0.11,0,0,0,0,0,0.308,0,0,0,0,0,0,0,0,0,0,0,0.308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,444,0,2540
88,'Fvb2-1',666142,669066,'maker-Fvb2-1-augustus-gene-6.27',0,0,0,0,0,0,0.066,0,0,0,0,0,0,0,0,0,0,0,0.066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,466,None,0,1541
89,'Fvb2-1',669202,671638,'maker-Fvb2-1-augustus-gene-6.28',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,0,2023
90,'Fvb2-1',670654,671338,'snap_masked-Fvb2-1-processed-gene-6.14',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,0,471
91,'Fvb2-1',671514,671940,'snap_masked-Fvb2-1-processed-gene-6.15',0,0,0,0,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,365,0,327
92,'Fvb2-1',681039,681469,'maker-Fvb2-1-snap-gene-6.34',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,0,354
93,'Fvb2-1',682759,683301,'augustus_masked-Fvb2-1-processed-gene-6.4',0,0,0,0.316,0.56353591160221,0.098,0,0,0,0,0,0,0,0,0,0.316,0.56353591160221,0.098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322,0,0,543
94,'Fvb2-1',690743,691219,'maker-Fvb2-1-snap-gene-7.39',0,0,0,0.61,0.5807127882599581,0.642,0,0,0,0,0,0,0,0,0,0.61,0.5807127882599581,0.642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,0,444
95,'Fvb2-1',693381,693921,'snap_masked-Fvb2-1-processed-gene-7.13',0,0,0,1.0,0.36229205175600737,0.364,0,0,0,0,0,0,0,0,0,1.0,0.36229205175600737,0.364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,317,0,393
96,'Fvb2-1',693976,694251,'snap_masked-Fvb2-1-processed-gene-7.14',0,0,0,0.202,0.043478260869565216,1.0,0,0,0,0,0,0,0,0,0,0.202,0.043478260869565216,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,398,0,0,276
97,'Fvb2-1',694366,698139,'maker-Fvb2-1-augustus-gene-7.36',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,0,1646
98,'Fvb2-1',700507,700788,'snap_masked-Fvb2-1-processed-gene-7.17',0,0,0.562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,218,0,282
99,'Fvb2-1',702883,704564,'maker-Fvb2-1-snap-gene-7.42',1.0,0.19441141498216408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,2,432
100,'Fvb2-1',709972,710706,'augustus_masked-Fvb2-1-processed-gene-7.2',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,0,735
101,'Fvb2-1',711195,719651,'maker-Fvb2-1-augustus-gene-7.33',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,0,3755
102,'Fvb2-1',719953,724324,'maker-Fvb2-1-snap-gene-7.47',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,0,1892
103,'Fvb2-1',734519,734863,'augustus_masked-Fvb2-1-processed-gene-7.10',0,0,0.296,0.806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.362,0,0,0,0,0,0.444,0,0,0,0,0,0,0,0.296,0,0,0,97,351,0,345
104,'Fvb2-1',760539,761456,'augustus_masked-Fvb2-1-processed-gene-7.6',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,0,717
