#pathway ID	pathway description	observed gene count	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO.0005749	mitochondrial respiratory chain complex II, succinate dehydrogenase complex (ubiquinone)	3	1.54e-05	AT2G18450.1,AT5G40650.1,AT5G66760.1	SDH1-1,SDH1-2,SDH2-2
GO.0005740	mitochondrial envelope	7	1.74e-05	AT2G18450.1,AT3G27380.1,AT4G32210.1,AT5G09600.1,AT5G40650.1,AT5G65165.1,AT5G66760.1	SDH1-1,SDH1-2,SDH2-1,SDH2-2,SDH2-3,SDH3-1,SDH3-2
GO.0012507	ER to Golgi transport vesicle membrane	3	2.68e-05	AT3G07100.1,AT3G44340.1,AT4G32640.1	AT4G32640,CEF,ERMO2
GO.0031967	organelle envelope	10	3.36e-05	AT1G10390.1,AT1G59660.1,AT2G18450.1,AT2G30050.1,AT3G27380.1,AT4G32210.1,AT5G09600.1,AT5G40650.1,AT5G65165.1,AT5G66760.1	AT1G10390,AT1G59660,AT2G30050,SDH1-1,SDH1-2,SDH2-1,SDH2-2,SDH2-3,SDH3-1,SDH3-2
GO.0030134	ER to Golgi transport vesicle	3	5.04e-05	AT3G07100.1,AT3G44340.1,AT4G32640.1	AT4G32640,CEF,ERMO2
GO.0005783	endoplasmic reticulum	8	0.000154	AT1G18830.1,AT1G32870.1,AT2G30050.1,AT3G01340.1,AT3G07100.1,AT3G44340.1,AT3G63460.1,AT4G32640.1	AT1G18830,AT2G30050,AT3G01340,AT3G63460,AT4G32640,CEF,ERMO2,NAC13
GO.0031090	organelle membrane	12	0.000227	AT1G32870.1,AT2G18450.1,AT3G07100.1,AT3G27380.1,AT3G44340.1,AT3G53730.1,AT4G32210.1,AT4G32640.1,AT5G09600.1,AT5G40650.1,AT5G65165.1,AT5G66760.1	AT1G07660,AT4G32640,CEF,ERMO2,NAC13,SDH1-1,SDH1-2,SDH2-1,SDH2-2,SDH2-3,SDH3-1,SDH3-2
GO.0005643	nuclear pore	3	0.000689	AT1G10390.1,AT1G59660.1,AT2G30050.1	AT1G10390,AT1G59660,AT2G30050
GO.0048475	coated membrane	3	0.000689	AT3G07100.1,AT3G44340.1,AT4G32640.1	AT4G32640,CEF,ERMO2
GO.0012505	endomembrane system	10	0.00118	AT1G10390.1,AT1G18830.1,AT1G32870.1,AT1G59660.1,AT2G30050.1,AT3G01340.1,AT3G07100.1,AT3G44340.1,AT3G63460.1,AT4G32640.1	AT1G10390,AT1G18830,AT1G59660,AT2G30050,AT3G01340,AT3G63460,AT4G32640,CEF,ERMO2,NAC13
GO.0044446	intracellular organelle part	16	0.00147	AT1G10390.1,AT1G32870.1,AT1G59660.1,AT2G18450.1,AT2G28605.1,AT2G30050.1,AT3G07100.1,AT3G27380.1,AT3G44340.1,AT3G53730.1,AT4G32210.1,AT4G32640.1,AT5G09600.1,AT5G40650.1,AT5G65165.1,AT5G66760.1	AT1G07660,AT1G10390,AT1G59660,AT2G28605,AT2G30050,AT4G32640,CEF,ERMO2,NAC13,SDH1-1,SDH1-2,SDH2-1,SDH2-2,SDH2-3,SDH3-1,SDH3-2
GO.0005794	Golgi apparatus	7	0.00241	AT1G18830.1,AT2G30050.1,AT3G01340.1,AT3G07100.1,AT3G44340.1,AT3G63460.1,AT4G32640.1	AT1G18830,AT2G30050,AT3G01340,AT3G63460,AT4G32640,CEF,ERMO2
GO.0005746	mitochondrial respiratory chain	3	0.00302	AT2G18450.1,AT5G40650.1,AT5G66760.1	SDH1-1,SDH1-2,SDH2-2
GO.0005635	nuclear envelope	3	0.00632	AT1G10390.1,AT1G59660.1,AT2G30050.1	AT1G10390,AT1G59660,AT2G30050
GO.0044444	cytoplasmic part	18	0.01	AT1G18830.1,AT1G32870.1,AT2G18450.1,AT2G28605.1,AT2G30050.1,AT3G01340.1,AT3G07100.1,AT3G27380.1,AT3G53730.1,AT3G63460.1,AT4G32210.1,AT4G32640.1,AT4G34020.1,AT5G09600.1,AT5G18100.1,AT5G40650.1,AT5G65165.1,AT5G66760.1	AT1G07660,AT1G18830,AT2G28605,AT2G30050,AT3G01340,AT3G63460,AT4G32640,CSD3,DJ1C,ERMO2,NAC13,SDH1-1,SDH1-2,SDH2-1,SDH2-2,SDH2-3,SDH3-1,SDH3-2
GO.0043231	intracellular membrane-bounded organelle	22	0.0138	AT1G10390.1,AT1G18830.1,AT1G32870.1,AT1G59660.1,AT1G64480.1,AT2G18450.1,AT2G28605.1,AT2G30050.1,AT3G01340.1,AT3G07100.1,AT3G27380.1,AT3G44340.1,AT3G53730.1,AT3G63460.1,AT4G32210.1,AT4G32640.1,AT4G34020.1,AT5G09600.1,AT5G18100.1,AT5G40650.1,AT5G65165.1,AT5G66760.1	AT1G07660,AT1G10390,AT1G18830,AT1G59660,AT2G28605,AT2G30050,AT3G01340,AT3G63460,AT4G32640,CBL8,CEF,CSD3,DJ1C,ERMO2,NAC13,SDH1-1,SDH1-2,SDH2-1,SDH2-2,SDH2-3,SDH3-1,SDH3-2
GO.0005739	mitochondrion	7	0.0162	AT2G18450.1,AT3G27380.1,AT4G32210.1,AT5G09600.1,AT5G40650.1,AT5G65165.1,AT5G66760.1	SDH1-1,SDH1-2,SDH2-1,SDH2-2,SDH2-3,SDH3-1,SDH3-2
GO.0005737	cytoplasm	19	0.0204	AT1G18830.1,AT1G32870.1,AT1G64480.1,AT2G18450.1,AT2G28605.1,AT2G30050.1,AT3G01340.1,AT3G07100.1,AT3G27380.1,AT3G53730.1,AT3G63460.1,AT4G32210.1,AT4G32640.1,AT4G34020.1,AT5G09600.1,AT5G18100.1,AT5G40650.1,AT5G65165.1,AT5G66760.1	AT1G07660,AT1G18830,AT2G28605,AT2G30050,AT3G01340,AT3G63460,AT4G32640,CBL8,CSD3,DJ1C,ERMO2,NAC13,SDH1-1,SDH1-2,SDH2-1,SDH2-2,SDH2-3,SDH3-1,SDH3-2
GO.0005789	endoplasmic reticulum membrane	4	0.0296	AT1G32870.1,AT3G07100.1,AT3G44340.1,AT4G32640.1	AT4G32640,CEF,ERMO2,NAC13
GO.0042175	nuclear outer membrane-endoplasmic reticulum membrane network	4	0.0297	AT1G32870.1,AT3G07100.1,AT3G44340.1,AT4G32640.1	AT4G32640,CEF,ERMO2,NAC13
