Camarosa	Hawaii-4	Arabidopsis
maker-Fvb7-1-augustus-gene-228.48-mRNA-1	FvH4_7g17660	AT1G01090
maker-Fvb7-2-augustus-gene-136.42-mRNA-1	FvH4_7g17660	AT1G01090
maker-Fvb7-2-augustus-gene-202.39-mRNA-1	FvH4_7g17660	AT1G01090
maker-Fvb7-3-augustus-gene-95.41-mRNA-1	FvH4_7g17660	AT1G01090
maker-Fvb7-4-augustus-gene-90.41-mRNA-1	FvH4_7g17660	AT1G01090
augustus_masked-Fvb7-4-processed-gene-6.18-mRNA-1	FvH4_7g17620	AT1G01100
maker-Fvb7-1-snap-gene-228.56-mRNA-1	FvH4_7g17620	AT1G01100
maker-Fvb7-2-augustus-gene-136.40-mRNA-1	FvH4_7g17620	AT1G01100
maker-Fvb7-2-augustus-gene-202.37-mRNA-1	FvH4_7g17620	AT1G01100
maker-Fvb7-3-augustus-gene-95.43-mRNA-1	FvH4_7g17620	AT1G01100
maker-Fvb7-3-snap-gene-17.78-mRNA-1	FvH4_7g17620	AT1G01100
maker-Fvb7-4-snap-gene-90.56-mRNA-1	FvH4_7g17620	AT1G01100
snap_masked-Fvb7-1-processed-gene-208.18-mRNA-1	FvH4_7g17620	AT1G01100
maker-Fvb5-4-augustus-gene-53.38-mRNA-1	FvH4_7g17520	AT1G01110
maker-Fvb7-1-augustus-gene-300.60-mRNA-1	FvH4_7g17520	AT1G01110
maker-Fvb7-1-augustus-gene-315.62-mRNA-1	FvH4_7g17520	AT1G01110
maker-Fvb7-3-snap-gene-18.76-mRNA-1	FvH4_7g17520	AT1G01110
maker-Fvb7-4-augustus-gene-7.38-mRNA-1	FvH4_7g17520	AT1G01110
augustus_masked-Fvb7-1-processed-gene-207.4-mRNA-1	FvH4_7g17440	AT1G01120
augustus_masked-Fvb7-1-processed-gene-227.2-mRNA-1	FvH4_7g17440	AT1G01120
augustus_masked-Fvb7-2-processed-gene-135.4-mRNA-1	FvH4_7g17440	AT1G01120
augustus_masked-Fvb7-2-processed-gene-201.4-mRNA-1	FvH4_7g17440	AT1G01120
augustus_masked-Fvb7-4-processed-gene-92.3-mRNA-1	FvH4_7g17440	AT1G01120
maker-Fvb7-3-augustus-gene-50.65-mRNA-1	FvH4_7g17440	AT1G01120
maker-Fvb7-3-augustus-gene-96.28-mRNA-1	FvH4_7g17440	AT1G01120
augustus_masked-Fvb7-1-processed-gene-227.0-mRNA-1	FvH4_7g17430	AT1G01140
augustus_masked-Fvb7-3-processed-gene-96.11-mRNA-1	FvH4_7g17430	AT1G01140
maker-Fvb7-1-augustus-gene-207.31-mRNA-1	FvH4_7g17430	AT1G01140
maker-Fvb7-2-augustus-gene-201.39-mRNA-1	FvH4_7g17430	AT1G01140
maker-Fvb7-4-snap-gene-92.52-mRNA-1	FvH4_7g17430	AT1G01140
snap_masked-Fvb7-2-processed-gene-135.20-mRNA-1	FvH4_7g17430	AT1G01140
maker-Fvb6-1-augustus-gene-19.47-mRNA-1	FvH4_6g51680	AT1G01150
maker-Fvb6-2-snap-gene-286.56-mRNA-1	FvH4_6g51680	AT1G01150
maker-Fvb6-3-augustus-gene-16.51-mRNA-1	FvH4_6g51680	AT1G01150
maker-Fvb7-1-augustus-gene-207.32-mRNA-1	FvH4_7g17400	AT1G01160
maker-Fvb7-1-augustus-gene-226.31-mRNA-1	FvH4_7g17400	AT1G01160
maker-Fvb7-2-augustus-gene-135.41-mRNA-1	FvH4_7g17400	AT1G01160
maker-Fvb7-2-augustus-gene-201.40-mRNA-1	FvH4_7g17400	AT1G01160
snap_masked-Fvb7-3-processed-gene-97.11-mRNA-1	FvH4_7g17400	AT1G01160
snap_masked-Fvb7-4-processed-gene-92.21-mRNA-1	FvH4_7g17400	AT1G01160
maker-Fvb6-1-snap-gene-191.53-mRNA-1	FvH4_6g23630	AT1G01170
maker-Fvb6-2-augustus-gene-113.28-mRNA-1	FvH4_6g23630	AT1G01170
maker-Fvb6-4-augustus-gene-174.26-mRNA-1	FvH4_6g23630	AT1G01170
augustus_masked-Fvb7-1-processed-gene-207.1-mRNA-1	FvH4_7g17390	AT1G01180
augustus_masked-Fvb7-1-processed-gene-226.9-mRNA-1	FvH4_7g17390	AT1G01180
augustus_masked-Fvb7-2-processed-gene-134.7-mRNA-1	FvH4_7g17390	AT1G01180
augustus_masked-Fvb7-3-processed-gene-97.2-mRNA-1	FvH4_7g17390	AT1G01180
augustus_masked-Fvb7-4-processed-gene-92.7-mRNA-1	FvH4_7g17390	AT1G01180
snap_masked-Fvb7-2-processed-gene-201.22-mRNA-1	FvH4_7g17390	AT1G01180
augustus_masked-Fvb5-4-processed-gene-55.1-mRNA-1	FvH4_7g17300	AT1G01190
augustus_masked-Fvb7-1-processed-gene-205.12-mRNA-1	FvH4_7g17300	AT1G01190
augustus_masked-Fvb7-1-processed-gene-225.6-mRNA-1	FvH4_7g17300	AT1G01190
augustus_masked-Fvb7-3-processed-gene-98.2-mRNA-1	FvH4_7g17300	AT1G01190
maker-Fvb5-1-augustus-gene-72.48-mRNA-1	FvH4_7g17300	AT1G01190
maker-Fvb5-2-augustus-gene-58.46-mRNA-1	FvH4_7g17300	AT1G01190
maker-Fvb5-3-augustus-gene-219.31-mRNA-1	FvH4_7g17300	AT1G01190
maker-Fvb7-2-augustus-gene-134.20-mRNA-1	FvH4_7g17300	AT1G01190
maker-Fvb7-2-augustus-gene-200.21-mRNA-1	FvH4_7g17300	AT1G01190
maker-Fvb7-4-snap-gene-93.36-mRNA-1	FvH4_7g17300	AT1G01190
augustus_masked-Fvb7-2-processed-gene-133.4-mRNA-1	FvH4_7g17190	AT1G01200
augustus_masked-Fvb7-2-processed-gene-199.5-mRNA-1	FvH4_7g17190	AT1G01200
maker-Fvb7-3-augustus-gene-99.39-mRNA-1	FvH4_7g17190	AT1G01200
maker-Fvb7-4-snap-gene-94.57-mRNA-1	FvH4_7g17190	AT1G01200
maker-Fvb7-1-augustus-gene-204.42-mRNA-1	FvH4_7g17060	AT1G01210
maker-Fvb7-1-augustus-gene-224.27-mRNA-1	FvH4_7g17060	AT1G01210
maker-Fvb7-2-augustus-gene-132.61-mRNA-1	FvH4_7g17060	AT1G01210
maker-Fvb7-2-augustus-gene-198.45-mRNA-1	FvH4_7g17060	AT1G01210
maker-Fvb7-3-augustus-gene-99.37-mRNA-1	FvH4_7g17060	AT1G01210
maker-Fvb7-4-augustus-gene-95.32-mRNA-1	FvH4_7g17060	AT1G01210
augustus_masked-Fvb7-1-processed-gene-204.11-mRNA-1	FvH4_7g17030	AT1G01220
maker-Fvb7-1-snap-gene-223.42-mRNA-1	FvH4_7g17030	AT1G01220
maker-Fvb7-2-snap-gene-132.75-mRNA-1	FvH4_7g17030	AT1G01220
maker-Fvb7-2-snap-gene-198.58-mRNA-1	FvH4_7g17030	AT1G01220
maker-Fvb7-3-augustus-gene-100.29-mRNA-1	FvH4_7g17030	AT1G01220
maker-Fvb7-4-augustus-gene-95.34-mRNA-1	FvH4_7g17030	AT1G01220
augustus_masked-Fvb7-1-processed-gene-204.10-mRNA-1	FvH4_7g17010	AT1G01230
augustus_masked-Fvb7-1-processed-gene-223.6-mRNA-1	FvH4_7g17010	AT1G01230
maker-Fvb5-1-snap-gene-58.62-mRNA-1	FvH4_7g17010	AT1G01230
maker-Fvb5-2-snap-gene-65.45-mRNA-1	FvH4_7g17010	AT1G01230
maker-Fvb5-3-augustus-gene-216.58-mRNA-1	FvH4_7g17010	AT1G01230
maker-Fvb5-4-snap-gene-56.58-mRNA-1	FvH4_7g17010	AT1G01230
maker-Fvb7-2-snap-gene-132.74-mRNA-1	FvH4_7g17010	AT1G01230
maker-Fvb7-2-snap-gene-198.57-mRNA-1	FvH4_7g17010	AT1G01230
maker-Fvb7-3-augustus-gene-100.30-mRNA-1	FvH4_7g17010	AT1G01230
maker-Fvb7-4-augustus-gene-95.35-mRNA-1	FvH4_7g17010	AT1G01230
augustus_masked-Fvb7-3-processed-gene-21.0-mRNA-1	FvH4_7g16870	AT1G01240
augustus_masked-Fvb7-4-processed-gene-96.4-mRNA-1	FvH4_7g16870	AT1G01240
maker-Fvb7-1-augustus-gene-221.45-mRNA-1	FvH4_7g16870	AT1G01240
maker-Fvb7-1-snap-gene-203.43-mRNA-1	FvH4_7g16870	AT1G01240
maker-Fvb7-1-snap-gene-313.105-mRNA-1	FvH4_7g16870	AT1G01240
maker-Fvb7-2-augustus-gene-131.33-mRNA-1	FvH4_7g16870	AT1G01240
maker-Fvb7-4-augustus-gene-10.38-mRNA-1	FvH4_7g16870	AT1G01240
snap_masked-Fvb7-2-processed-gene-197.15-mRNA-1	FvH4_7g16870	AT1G01240
snap_masked-Fvb7-3-processed-gene-101.17-mRNA-1	FvH4_7g16870	AT1G01240
augustus_masked-Fvb7-1-processed-gene-202.3-mRNA-1	FvH4_7g16810	AT1G01250
augustus_masked-Fvb7-1-processed-gene-220.3-mRNA-1	FvH4_7g16810	AT1G01250
augustus_masked-Fvb7-2-processed-gene-131.0-mRNA-1	FvH4_7g16810	AT1G01250
augustus_masked-Fvb7-2-processed-gene-196.5-mRNA-1	FvH4_7g16810	AT1G01250
augustus_masked-Fvb7-3-processed-gene-102.0-mRNA-1	FvH4_7g16810	AT1G01250
augustus_masked-Fvb7-4-processed-gene-97.8-mRNA-1	FvH4_7g16810	AT1G01250
augustus_masked-Fvb7-1-processed-gene-202.12-mRNA-1	FvH4_7g16800	AT1G01260
augustus_masked-Fvb7-1-processed-gene-220.8-mRNA-1	FvH4_7g16800	AT1G01260
augustus_masked-Fvb7-2-processed-gene-196.12-mRNA-1	FvH4_7g16800	AT1G01260
maker-Fvb7-2-augustus-gene-130.53-mRNA-1	FvH4_7g16800	AT1G01260
maker-Fvb7-4-snap-gene-97.41-mRNA-1	FvH4_7g16800	AT1G01260
snap_masked-Fvb7-3-processed-gene-102.17-mRNA-1	FvH4_7g16800	AT1G01260
maker-Fvb7-1-augustus-gene-201.35-mRNA-1	FvH4_7g16620	AT1G01280
maker-Fvb7-1-augustus-gene-202.34-mRNA-1	FvH4_7g16710	AT1G01280
maker-Fvb7-1-augustus-gene-220.25-mRNA-1	FvH4_7g16710	AT1G01280
maker-Fvb7-2-snap-gene-129.53-mRNA-1	FvH4_7g16620	AT1G01280
maker-Fvb7-2-snap-gene-130.62-mRNA-1	FvH4_7g16710	AT1G01280
maker-Fvb7-2-snap-gene-195.72-mRNA-1	FvH4_7g16620	AT1G01280
maker-Fvb7-2-snap-gene-196.55-mRNA-1	FvH4_7g16710	AT1G01280
maker-Fvb7-3-augustus-gene-102.39-mRNA-1	FvH4_7g16710	AT1G01280
maker-Fvb7-3-augustus-gene-102.45-mRNA-1	FvH4_7g16620	AT1G01280
maker-Fvb7-4-snap-gene-97.43-mRNA-1	FvH4_7g16710	AT1G01280
maker-Fvb7-4-snap-gene-98.44-mRNA-1	FvH4_7g16620	AT1G01280
snap_masked-Fvb7-2-processed-gene-196.15-mRNA-1	FvH4_7g16620	AT1G01280
snap_masked-Fvb7-1-processed-gene-202.20-mRNA-1	FvH4_7g16680	AT1G01290
snap_masked-Fvb7-1-processed-gene-220.9-mRNA-1	FvH4_7g16680	AT1G01290
snap_masked-Fvb7-2-processed-gene-129.29-mRNA-1	FvH4_7g16680	AT1G01290
snap_masked-Fvb7-2-processed-gene-196.16-mRNA-1	FvH4_7g16680	AT1G01290
snap_masked-Fvb7-2-processed-gene-196.17-mRNA-1	FvH4_7g16680	AT1G01290
snap_masked-Fvb7-3-processed-gene-102.25-mRNA-1	FvH4_7g16680	AT1G01290
snap_masked-Fvb7-4-processed-gene-98.13-mRNA-1	FvH4_7g16680	AT1G01290
maker-Fvb7-1-snap-gene-201.42-mRNA-1	FvH4_7g16420	AT1G01320
maker-Fvb7-1-snap-gene-219.41-mRNA-1	FvH4_7g16420	AT1G01320
maker-Fvb7-2-augustus-gene-129.37-mRNA-1	FvH4_7g16420	AT1G01320
maker-Fvb7-2-snap-gene-194.39-mRNA-1	FvH4_7g16420	AT1G01320
maker-Fvb7-3-snap-gene-104.67-mRNA-1	FvH4_7g16420	AT1G01320
snap_masked-Fvb7-4-processed-gene-99.30-mRNA-1	FvH4_7g16420	AT1G01320
augustus_masked-Fvb7-1-processed-gene-310.4-mRNA-1	FvH4_7g16300	AT1G01340
maker-Fvb7-1-augustus-gene-200.48-mRNA-1	FvH4_7g16300	AT1G01340
maker-Fvb7-1-augustus-gene-218.40-mRNA-1	FvH4_7g16300	AT1G01340
maker-Fvb7-1-snap-gene-297.67-mRNA-1	FvH4_7g16300	AT1G01340
maker-Fvb7-2-augustus-gene-128.49-mRNA-1	FvH4_7g16300	AT1G01340
maker-Fvb7-2-augustus-gene-193.37-mRNA-1	FvH4_7g16300	AT1G01340
maker-Fvb7-3-augustus-gene-104.55-mRNA-1	FvH4_7g16300	AT1G01340
maker-Fvb7-3-augustus-gene-25.52-mRNA-1	FvH4_7g16300	AT1G01340
maker-Fvb7-3-snap-gene-22.51-mRNA-1	FvH4_7g16300	AT1G01340
snap_masked-Fvb7-4-processed-gene-100.16-mRNA-1	FvH4_7g16300	AT1G01340
maker-Fvb7-1-augustus-gene-186.35-mRNA-1	FvH4_7g16220	AT1G01360
maker-Fvb7-1-augustus-gene-199.24-mRNA-1	FvH4_7g16220	AT1G01360
maker-Fvb7-1-augustus-gene-310.47-mRNA-1	FvH4_7g16220	AT1G01360
maker-Fvb7-2-augustus-gene-128.51-mRNA-1	FvH4_7g16220	AT1G01360
maker-Fvb7-3-augustus-gene-105.28-mRNA-1	FvH4_7g16220	AT1G01360
maker-Fvb7-4-augustus-gene-100.36-mRNA-1	FvH4_7g16220	AT1G01360
snap_masked-Fvb7-2-processed-gene-193.16-mRNA-1	FvH4_7g16220	AT1G01360
snap_masked-Fvb7-3-processed-gene-25.32-mRNA-1	FvH4_7g16220	AT1G01360
maker-Fvb7-2-augustus-gene-127.30-mRNA-1	FvH4_7g16180	AT1G01370
maker-Fvb7-2-snap-gene-192.48-mRNA-1	FvH4_7g16180	AT1G01370
maker-Fvb7-3-augustus-gene-105.31-mRNA-1	FvH4_7g16180	AT1G01370
maker-Fvb7-4-snap-gene-101.35-mRNA-1	FvH4_7g16180	AT1G01370
maker-Fvb5-1-snap-gene-28.64-mRNA-1	FvH4_5g04380	AT1G01380
maker-Fvb5-1-snap-gene-32.79-mRNA-1	FvH4_5g04380	AT1G01380
maker-Fvb5-1-snap-gene-32.79-mRNA-1	FvH4_7g16170	AT1G01380
maker-Fvb5-4-snap-gene-25.71-mRNA-1	FvH4_5g04380	AT1G01380
maker-Fvb5-4-snap-gene-25.71-mRNA-1	FvH4_7g16170	AT1G01380
maker-Fvb7-1-augustus-gene-185.49-mRNA-1	FvH4_5g04380	AT1G01380
maker-Fvb7-1-augustus-gene-185.49-mRNA-1	FvH4_7g16170	AT1G01380
maker-Fvb7-2-augustus-gene-192.37-mRNA-1	FvH4_5g04380	AT1G01380
maker-Fvb7-2-augustus-gene-192.37-mRNA-1	FvH4_7g16170	AT1G01380
maker-Fvb7-2-snap-gene-127.39-mRNA-1	FvH4_5g04380	AT1G01380
maker-Fvb7-2-snap-gene-127.39-mRNA-1	FvH4_7g16170	AT1G01380
maker-Fvb7-3-augustus-gene-25.49-mRNA-1	FvH4_7g16170	AT1G01380
maker-Fvb7-3-snap-gene-106.39-mRNA-1	FvH4_5g04380	AT1G01380
maker-Fvb7-3-snap-gene-106.39-mRNA-1	FvH4_7g16170	AT1G01380
maker-Fvb7-4-snap-gene-101.36-mRNA-1	FvH4_5g04380	AT1G01380
maker-Fvb7-4-snap-gene-101.36-mRNA-1	FvH4_7g16170	AT1G01380
snap_masked-Fvb5-3-processed-gene-251.24-mRNA-1	FvH4_5g04380	AT1G01380
snap_masked-Fvb5-3-processed-gene-251.24-mRNA-1	FvH4_7g16170	AT1G01380
snap_masked-Fvb7-1-processed-gene-198.27-mRNA-1	FvH4_5g04380	AT1G01380
snap_masked-Fvb7-1-processed-gene-198.27-mRNA-1	FvH4_7g16170	AT1G01380
augustus_masked-Fvb5-3-processed-gene-251.16-mRNA-1	FvH4_7g16080	AT1G01420
augustus_masked-Fvb7-2-processed-gene-126.8-mRNA-1	FvH4_7g16080	AT1G01420
augustus_masked-Fvb7-3-processed-gene-107.6-mRNA-1	FvH4_7g16080	AT1G01420
maker-Fvb5-1-snap-gene-29.67-mRNA-1	FvH4_7g16080	AT1G01420
maker-Fvb5-2-snap-gene-27.58-mRNA-1	FvH4_7g16080	AT1G01420
maker-Fvb5-4-snap-gene-24.72-mRNA-1	FvH4_7g16080	AT1G01420
maker-Fvb7-4-snap-gene-102.55-mRNA-1	FvH4_7g16080	AT1G01420
snap_masked-Fvb5-1-processed-gene-31.34-mRNA-1	FvH4_7g16080	AT1G01420
snap_masked-Fvb7-1-processed-gene-185.30-mRNA-1	FvH4_7g16080	AT1G01420
snap_masked-Fvb7-1-processed-gene-198.21-mRNA-1	FvH4_7g16080	AT1G01420
snap_masked-Fvb7-2-processed-gene-191.24-mRNA-1	FvH4_7g16080	AT1G01420
augustus_masked-Fvb7-1-processed-gene-197.6-mRNA-1	FvH4_7g16070	AT1G01430
maker-Fvb5-1-augustus-gene-31.53-mRNA-1	FvH4_7g16070	AT1G01430
maker-Fvb5-2-augustus-gene-26.42-mRNA-1	FvH4_7g16070	AT1G01430
maker-Fvb5-3-augustus-gene-252.62-mRNA-1	FvH4_7g16070	AT1G01430
maker-Fvb5-4-snap-gene-24.70-mRNA-1	FvH4_7g16070	AT1G01430
maker-Fvb7-1-augustus-gene-185.40-mRNA-1	FvH4_7g16070	AT1G01430
maker-Fvb7-2-augustus-gene-126.33-mRNA-1	FvH4_7g16070	AT1G01430
maker-Fvb7-2-augustus-gene-191.30-mRNA-1	FvH4_7g16070	AT1G01430
maker-Fvb7-3-augustus-gene-107.39-mRNA-1	FvH4_7g16070	AT1G01430
maker-Fvb7-4-augustus-gene-102.42-mRNA-1	FvH4_7g16070	AT1G01430
augustus_masked-Fvb7-1-processed-gene-197.6-mRNA-1	FvH4_5g04100	AT1G01440
maker-Fvb5-1-augustus-gene-31.52-mRNA-1	FvH4_5g04100	AT1G01440
maker-Fvb5-1-augustus-gene-31.53-mRNA-1	FvH4_5g04100	AT1G01440
maker-Fvb5-1-snap-gene-29.71-mRNA-1	FvH4_5g04100	AT1G01440
maker-Fvb5-2-augustus-gene-26.41-mRNA-1	FvH4_5g04100	AT1G01440
maker-Fvb5-2-augustus-gene-26.42-mRNA-1	FvH4_5g04100	AT1G01440
maker-Fvb5-3-augustus-gene-252.62-mRNA-1	FvH4_5g04100	AT1G01440
maker-Fvb5-3-augustus-gene-252.63-mRNA-1	FvH4_5g04100	AT1G01440
maker-Fvb5-4-snap-gene-21.36-mRNA-1	FvH4_5g04100	AT1G01440
maker-Fvb5-4-snap-gene-24.70-mRNA-1	FvH4_5g04100	AT1G01440
maker-Fvb5-4-snap-gene-24.78-mRNA-1	FvH4_5g04100	AT1G01440
maker-Fvb7-1-augustus-gene-185.39-mRNA-1	FvH4_7g16060	AT1G01440
maker-Fvb7-1-augustus-gene-185.40-mRNA-1	FvH4_5g04100	AT1G01440
maker-Fvb7-1-augustus-gene-197.40-mRNA-1	FvH4_7g16060	AT1G01440
maker-Fvb7-2-augustus-gene-126.32-mRNA-1	FvH4_7g16060	AT1G01440
maker-Fvb7-2-augustus-gene-126.33-mRNA-1	FvH4_5g04100	AT1G01440
maker-Fvb7-2-augustus-gene-191.29-mRNA-1	FvH4_7g16060	AT1G01440
maker-Fvb7-2-augustus-gene-191.30-mRNA-1	FvH4_5g04100	AT1G01440
maker-Fvb7-3-augustus-gene-107.39-mRNA-1	FvH4_5g04100	AT1G01440
maker-Fvb7-3-augustus-gene-107.40-mRNA-1	FvH4_7g16060	AT1G01440
maker-Fvb7-4-augustus-gene-102.42-mRNA-1	FvH4_5g04100	AT1G01440
maker-Fvb7-4-augustus-gene-102.43-mRNA-1	FvH4_7g16060	AT1G01440
augustus_masked-Fvb7-3-processed-gene-108.2-mRNA-1	FvH4_7g15980	AT1G01450
maker-Fvb5-1-snap-gene-30.54-mRNA-1	FvH4_5g03980	AT1G01450
maker-Fvb5-1-snap-gene-30.54-mRNA-1	FvH4_7g15980	AT1G01450
maker-Fvb5-2-snap-gene-26.52-mRNA-1	FvH4_5g03980	AT1G01450
maker-Fvb5-2-snap-gene-26.52-mRNA-1	FvH4_7g15980	AT1G01450
maker-Fvb5-3-augustus-gene-252.67-mRNA-1	FvH4_5g03980	AT1G01450
maker-Fvb5-3-augustus-gene-252.67-mRNA-1	FvH4_7g15980	AT1G01450
maker-Fvb5-4-snap-gene-23.50-mRNA-1	FvH4_5g03980	AT1G01450
maker-Fvb5-4-snap-gene-23.50-mRNA-1	FvH4_7g15980	AT1G01450
maker-Fvb7-1-augustus-gene-184.25-mRNA-1	FvH4_5g03980	AT1G01450
maker-Fvb7-1-augustus-gene-184.25-mRNA-1	FvH4_7g15980	AT1G01450
maker-Fvb7-1-augustus-gene-196.38-mRNA-1	FvH4_5g03980	AT1G01450
maker-Fvb7-1-augustus-gene-196.38-mRNA-1	FvH4_7g15980	AT1G01450
maker-Fvb7-2-augustus-gene-125.46-mRNA-1	FvH4_5g03980	AT1G01450
maker-Fvb7-2-augustus-gene-125.46-mRNA-1	FvH4_7g15980	AT1G01450
maker-Fvb7-2-augustus-gene-191.25-mRNA-1	FvH4_5g03980	AT1G01450
maker-Fvb7-2-augustus-gene-191.25-mRNA-1	FvH4_7g15980	AT1G01450
maker-Fvb7-4-augustus-gene-103.46-mRNA-1	FvH4_5g03980	AT1G01450
maker-Fvb7-4-augustus-gene-103.46-mRNA-1	FvH4_7g15980	AT1G01450
maker-Fvb7-1-augustus-gene-196.34-mRNA-1	FvH4_7g15840	AT1G01453
maker-Fvb7-1-snap-gene-183.57-mRNA-1	FvH4_7g15840	AT1G01453
maker-Fvb7-2-augustus-gene-190.48-mRNA-1	FvH4_7g15840	AT1G01453
maker-Fvb7-2-snap-gene-125.51-mRNA-1	FvH4_7g15840	AT1G01453
maker-Fvb7-3-snap-gene-108.76-mRNA-1	FvH4_7g15840	AT1G01453
snap_masked-Fvb7-4-processed-gene-103.38-mRNA-1	FvH4_7g15840	AT1G01453
augustus_masked-Fvb7-1-processed-gene-192.9-mRNA-1	FvH4_7g15440	AT1G01470
maker-Fvb7-1-augustus-gene-180.38-mRNA-1	FvH4_7g15440	AT1G01470
maker-Fvb7-2-augustus-gene-121.34-mRNA-1	FvH4_7g15440	AT1G01470
maker-Fvb7-2-augustus-gene-187.28-mRNA-1	FvH4_7g15440	AT1G01470
maker-Fvb7-3-augustus-gene-111.32-mRNA-1	FvH4_7g15440	AT1G01470
maker-Fvb7-4-augustus-gene-106.52-mRNA-1	FvH4_7g15440	AT1G01470
augustus_masked-Fvb7-4-processed-gene-107.2-mRNA-1	FvH4_7g15310	AT1G01480
maker-Fvb7-1-augustus-gene-180.41-mRNA-1	FvH4_7g15310	AT1G01480
maker-Fvb7-1-augustus-gene-192.51-mRNA-1	FvH4_7g15310	AT1G01480
maker-Fvb7-2-augustus-gene-120.64-mRNA-1	FvH4_7g15310	AT1G01480
maker-Fvb7-2-augustus-gene-186.66-mRNA-1	FvH4_7g15310	AT1G01480
maker-Fvb7-3-augustus-gene-111.34-mRNA-1	FvH4_7g15310	AT1G01480
maker-Fvb7-1-augustus-gene-180.34-mRNA-1	FvH4_7g15300	AT1G01490
maker-Fvb7-1-augustus-gene-180.34-mRNA-1	FvH4_7g30310	AT1G01490
maker-Fvb7-1-augustus-gene-291.63-mRNA-1	FvH4_7g30310	AT1G01490
maker-Fvb7-1-augustus-gene-306.56-mRNA-1	FvH4_7g30310	AT1G01490
maker-Fvb7-1-augustus-gene-306.56-mRNA-1	FvH4_7g15300	AT1G01490
maker-Fvb7-1-snap-gene-192.60-mRNA-1	FvH4_7g15300	AT1G01490
maker-Fvb7-1-snap-gene-192.60-mRNA-1	FvH4_7g30310	AT1G01490
maker-Fvb7-2-augustus-gene-120.53-mRNA-1	FvH4_7g15300	AT1G01490
maker-Fvb7-2-augustus-gene-186.57-mRNA-1	FvH4_7g15300	AT1G01490
maker-Fvb7-2-augustus-gene-278.62-mRNA-1	FvH4_7g30310	AT1G01490
maker-Fvb7-2-augustus-gene-278.62-mRNA-1	FvH4_7g15300	AT1G01490
