chromosome,name,start,stop,window_size,classification,value
Fvb1-1,snap_masked-Fvb1-1-processed-gene-27.14,2760980,2761753,1000,LTR_right,0.3355
Fvb1-1,maker-Fvb1-1-snap-gene-27.26,2761835,2762141,1000,LTR_right,0.3335
Fvb1-1,maker-Fvb1-1-snap-gene-28.29,2865941,2867310,1000,LTR_right,0.2735
Fvb1-1,augustus_masked-Fvb1-1-processed-gene-29.2,2969223,2972423,1000,LTR_right,0.3505
Fvb1-1,augustus_masked-Fvb1-1-processed-gene-29.4,2974471,2975115,1000,LTR_right,0.295
Fvb1-1,snap_masked-Fvb1-1-processed-gene-29.15,2979127,2984650,1000,LTR_right,0.242
Fvb1-1,maker-Fvb1-1-snap-gene-30.14,2992919,2993838,1000,LTR_right,0.332
Fvb1-1,maker-Fvb1-1-snap-gene-30.16,2997269,3000292,1000,LTR_right,0.379
Fvb1-1,maker-Fvb1-1-augustus-gene-30.13,3047861,3054711,1000,LTR_right,0.292
Fvb1-1,maker-Fvb1-1-snap-gene-31.24,3100762,3101182,1000,LTR_right,0.4075
Fvb1-1,augustus_masked-Fvb1-1-processed-gene-31.7,3172916,3173358,1000,LTR_right,0.4355
Fvb1-1,maker-Fvb1-1-snap-gene-32.31,3197634,3198848,1000,LTR_right,0.447
Fvb1-1,augustus_masked-Fvb1-1-processed-gene-32.7,3260113,3260547,1000,LTR_right,0.3215
Fvb1-1,maker-Fvb1-1-augustus-gene-32.22,3287122,3289009,1000,LTR_right,0.7125
Fvb1-1,maker-Fvb1-1-snap-gene-33.18,3298490,3299778,1000,LTR_right,0.422
Fvb1-1,maker-Fvb1-1-snap-gene-33.23,3342386,3347650,1000,LTR_right,0.626
Fvb1-1,maker-Fvb1-1-snap-gene-34.11,3397768,3398383,1000,LTR_right,0.466
Fvb1-1,augustus_masked-Fvb1-1-processed-gene-36.5,3627011,3627580,1000,LTR_right,0.3905
Fvb1-1,snap_masked-Fvb1-1-processed-gene-37.12,3695793,3696833,1000,LTR_right,0.446
Fvb1-1,maker-Fvb1-1-snap-gene-37.24,3728066,3729470,1000,LTR_right,0.262
Fvb1-1,maker-Fvb1-1-augustus-gene-38.30,3811856,3814717,1000,LTR_right,0.285
Fvb1-1,maker-Fvb1-1-snap-gene-38.45,3878910,3879386,1000,LTR_right,0.4535
Fvb1-1,maker-Fvb1-1-snap-gene-39.7,3923861,3924827,1000,LTR_right,0.2645
Fvb1-1,augustus_masked-Fvb1-1-processed-gene-45.5,4524700,4526973,1000,LTR_right,0.475
Fvb1-1,augustus_masked-Fvb1-1-processed-gene-45.6,4557420,4558058,1000,LTR_right,0.31
Fvb1-1,maker-Fvb1-1-snap-gene-45.33,4584480,4585097,1000,LTR_right,0.392
Fvb1-1,maker-Fvb1-1-snap-gene-45.34,4585103,4587298,1000,LTR_right,0.5
Fvb1-1,maker-Fvb1-1-snap-gene-45.35,4587344,4588816,1000,LTR_right,0.5
Fvb1-1,maker-Fvb1-1-augustus-gene-46.16,4634413,4638900,1000,LTR_right,0.326
Fvb1-1,maker-Fvb1-1-snap-gene-46.22,4649953,4650215,1000,LTR_right,0.4035
Fvb1-1,maker-Fvb1-1-snap-gene-46.25,4678534,4684609,1000,LTR_right,0.2465
Fvb1-1,maker-Fvb1-1-augustus-gene-47.23,4761605,4767543,1000,LTR_right,0.345
Fvb1-1,maker-Fvb1-1-augustus-gene-47.18,4775499,4777994,1000,LTR_right,0.5
Fvb1-1,augustus_masked-Fvb1-1-processed-gene-48.7,4824604,4825005,1000,LTR_right,0.4505
Fvb1-1,maker-Fvb1-1-snap-gene-48.36,4864311,4866337,1000,LTR_right,0.4155
Fvb1-1,maker-Fvb1-1-snap-gene-48.33,4868659,4871076,1000,LTR_right,0.4355
Fvb1-1,maker-Fvb1-1-augustus-gene-52.9,5206993,5207871,1000,LTR_right,0.425
Fvb1-1,augustus_masked-Fvb1-1-processed-gene-52.3,5248926,5250425,1000,LTR_right,0.469
Fvb1-1,maker-Fvb1-1-augustus-gene-53.15,5326990,5331059,1000,LTR_right,0.331
Fvb1-1,maker-Fvb1-1-snap-gene-53.21,5368466,5380145,1000,LTR_right,0.423
Fvb1-1,maker-Fvb1-1-augustus-gene-56.17,5631247,5632517,1000,LTR_right,0.2695
Fvb1-1,snap_masked-Fvb1-1-processed-gene-56.15,5658654,5659058,1000,LTR_right,0.301
Fvb1-1,augustus_masked-Fvb1-1-processed-gene-58.0,5788286,5798695,1000,LTR_right,0.4395
Fvb1-1,maker-Fvb1-1-snap-gene-58.14,5821921,5825847,1000,LTR_right,0.327
Fvb1-1,maker-Fvb1-1-snap-gene-60.20,6014463,6022593,1000,LTR_right,0.284
Fvb1-1,maker-Fvb1-1-snap-gene-62.13,6233171,6234831,1000,LTR_right,0.296
Fvb1-1,maker-Fvb1-1-snap-gene-62.14,6248710,6251080,1000,LTR_right,0.334
Fvb1-1,maker-Fvb1-1-augustus-gene-62.10,6263964,6266997,1000,LTR_right,0.2965
Fvb1-1,maker-Fvb1-1-augustus-gene-63.25,6339396,6340786,1000,LTR_right,0.397
Fvb1-1,maker-Fvb1-1-augustus-gene-63.27,6365727,6366923,1000,LTR_right,0.3
Fvb1-1,maker-Fvb1-1-snap-gene-63.30,6375573,6376927,1000,LTR_right,0.7025
Fvb1-1,snap_masked-Fvb1-1-processed-gene-63.20,6376968,6377156,1000,LTR_right,0.429
Fvb1-1,maker-Fvb1-1-snap-gene-64.14,6408844,6413166,1000,LTR_right,0.5
Fvb1-1,maker-Fvb1-1-augustus-gene-64.12,6425459,6428558,1000,LTR_right,0.4335
Fvb1-1,maker-Fvb1-1-snap-gene-66.22,6649254,6651997,1000,LTR_right,0.475
Fvb1-1,maker-Fvb1-1-snap-gene-66.27,6656033,6660197,1000,LTR_right,0.4815
Fvb1-1,maker-Fvb1-1-snap-gene-66.24,6684846,6689006,1000,LTR_right,0.334
Fvb1-1,snap_masked-Fvb1-1-processed-gene-68.3,6815007,6817434,1000,LTR_right,0.5
Fvb1-1,maker-Fvb1-1-augustus-gene-71.19,7113993,7119300,1000,LTR_right,0.3815
Fvb1-1,maker-Fvb1-1-snap-gene-72.34,7268687,7269486,1000,LTR_right,0.451
Fvb1-1,maker-Fvb1-1-snap-gene-73.18,7294692,7299176,1000,LTR_right,0.271
Fvb1-1,maker-Fvb1-1-snap-gene-73.19,7318318,7320369,1000,LTR_right,0.4815
Fvb1-1,snap_masked-Fvb1-1-processed-gene-74.13,7418376,7419696,1000,LTR_right,0.437
Fvb1-1,maker-Fvb1-1-snap-gene-74.33,7424187,7428290,1000,LTR_right,0.4605
Fvb1-1,maker-Fvb1-1-snap-gene-75.50,7499277,7501300,1000,LTR_right,0.341
Fvb1-1,maker-Fvb1-1-augustus-gene-75.43,7564094,7566988,1000,LTR_right,0.408
Fvb1-1,augustus_masked-Fvb1-1-processed-gene-75.12,7579655,7582049,1000,LTR_right,1.0
Fvb1-1,snap_masked-Fvb1-1-processed-gene-78.16,7877463,7877921,1000,LTR_right,0.413
Fvb1-1,maker-Fvb1-1-snap-gene-79.11,7887400,7888013,1000,LTR_right,0.3825
Fvb1-1,maker-Fvb1-1-augustus-gene-79.9,7912621,7913230,1000,LTR_right,0.504
Fvb1-1,augustus_masked-Fvb1-1-processed-gene-80.0,8044972,8045832,1000,LTR_right,0.58
Fvb1-1,maker-Fvb1-1-snap-gene-80.14,8076890,8077115,1000,LTR_right,0.4655
Fvb1-1,snap_masked-Fvb1-1-processed-gene-80.7,8080965,8081219,1000,LTR_right,0.2745
Fvb1-1,maker-Fvb1-1-snap-gene-82.33,8272905,8277059,1000,LTR_right,0.398
Fvb1-1,snap_masked-Fvb1-1-processed-gene-82.26,8276896,8277249,1000,LTR_right,0.303
Fvb1-1,snap_masked-Fvb1-1-processed-gene-85.10,8542131,8542989,1000,LTR_right,0.455
Fvb1-1,maker-Fvb1-1-snap-gene-86.34,8602765,8603472,1000,LTR_right,0.3655
Fvb1-1,maker-Fvb1-1-snap-gene-86.35,8603683,8604831,1000,LTR_right,0.413
Fvb1-1,maker-Fvb1-1-snap-gene-86.36,8624797,8630629,1000,LTR_right,0.673
Fvb1-1,maker-Fvb1-1-snap-gene-87.43,8717124,8718031,1000,LTR_right,0.4135
Fvb1-1,maker-Fvb1-1-snap-gene-88.29,8828299,8829156,1000,LTR_right,0.386
Fvb1-1,maker-Fvb1-1-augustus-gene-88.26,8876293,8879286,1000,LTR_right,0.4845
Fvb1-1,maker-Fvb1-1-snap-gene-89.40,8913224,8921206,1000,LTR_right,0.4155
Fvb1-1,augustus_masked-Fvb1-1-processed-gene-89.3,8952589,8953296,1000,LTR_right,0.3
Fvb1-1,snap_masked-Fvb1-1-processed-gene-89.24,8961203,8961466,1000,LTR_right,0.268
Fvb1-1,snap_masked-Fvb1-1-processed-gene-89.25,8961472,8961837,1000,LTR_right,0.4535
Fvb1-1,maker-Fvb1-1-snap-gene-90.39,9071365,9074871,1000,LTR_right,0.4665
Fvb1-1,maker-Fvb1-1-snap-gene-91.35,9095189,9097596,1000,LTR_right,0.349
Fvb1-1,maker-Fvb1-1-augustus-gene-91.26,9169068,9171072,1000,LTR_right,0.3965
Fvb1-1,augustus_masked-Fvb1-1-processed-gene-92.5,9248071,9248728,1000,LTR_right,0.369
Fvb1-1,augustus_masked-Fvb1-1-processed-gene-92.7,9257062,9258209,1000,LTR_right,0.472
Fvb1-1,maker-Fvb1-1-augustus-gene-93.37,9331612,9334262,1000,LTR_right,0.3115
Fvb1-1,maker-Fvb1-1-snap-gene-94.45,9428744,9436637,1000,LTR_right,0.401
Fvb1-1,maker-Fvb1-1-augustus-gene-95.37,9521221,9523503,1000,LTR_right,0.398
Fvb1-1,maker-Fvb1-1-augustus-gene-96.34,9615269,9621148,1000,LTR_right,0.402
Fvb1-1,augustus_masked-Fvb1-1-processed-gene-97.14,9754579,9756521,1000,LTR_right,0.4445
Fvb1-1,maker-Fvb1-1-snap-gene-100.28,10049762,10052608,1000,LTR_right,0.241
Fvb1-1,maker-Fvb1-1-snap-gene-101.33,10102745,10104205,1000,LTR_right,0.42
Fvb1-1,augustus_masked-Fvb1-1-processed-gene-101.6,10108393,10109416,1000,LTR_right,0.4365
Fvb1-1,maker-Fvb1-1-snap-gene-101.31,10114187,10116707,1000,LTR_right,0.411
Fvb1-1,maker-Fvb1-1-snap-gene-103.20,10294768,10302363,1000,LTR_right,0.2445
Fvb1-1,augustus_masked-Fvb1-1-processed-gene-103.5,10309782,10310492,1000,LTR_right,0.314
Fvb1-1,maker-Fvb1-1-snap-gene-103.21,10343466,10347307,1000,LTR_right,0.281
Fvb1-1,maker-Fvb1-1-snap-gene-103.25,10353283,10355607,1000,LTR_right,0.4995
Fvb1-1,maker-Fvb1-1-snap-gene-103.26,10355647,10360014,1000,LTR_right,0.5
Fvb1-1,augustus_masked-Fvb1-1-processed-gene-103.4,10369478,10370572,1000,LTR_right,0.4515
Fvb1-1,maker-Fvb1-1-snap-gene-104.34,10425149,10425529,1000,LTR_right,0.243
Fvb1-1,maker-Fvb1-1-snap-gene-105.29,10545585,10550252,1000,LTR_right,0.4775
Fvb1-1,augustus_masked-Fvb1-1-processed-gene-105.9,10551504,10551962,1000,LTR_right,0.426
Fvb1-1,maker-Fvb1-1-snap-gene-109.20,10901228,10904659,1000,LTR_right,0.4615
Fvb1-1,maker-Fvb1-1-snap-gene-112.20,11237290,11237875,1000,LTR_right,0.256
Fvb1-1,maker-Fvb1-1-snap-gene-112.21,11237904,11238973,1000,LTR_right,0.5
Fvb1-1,maker-Fvb1-1-snap-gene-112.22,11239005,11239961,1000,LTR_right,0.3665
Fvb1-1,maker-Fvb1-1-snap-gene-115.22,11496913,11497253,1000,LTR_right,0.4125
Fvb1-1,maker-Fvb1-1-augustus-gene-115.16,11529133,11532706,1000,LTR_right,0.361
Fvb1-1,augustus_masked-Fvb1-1-processed-gene-115.5,11564272,11565125,1000,LTR_right,0.369
Fvb1-1,maker-Fvb1-1-snap-gene-115.20,11578443,11580351,1000,LTR_right,0.348
Fvb1-1,maker-Fvb1-1-snap-gene-116.24,11609346,11613551,1000,LTR_right,0.3865
Fvb1-1,maker-Fvb1-1-augustus-gene-117.28,11711356,11712947,1000,LTR_right,0.475
Fvb1-1,maker-Fvb1-1-snap-gene-118.36,11795495,11799028,1000,LTR_right,0.573
Fvb1-1,snap_masked-Fvb1-1-processed-gene-118.22,11800517,11804241,1000,LTR_right,0.262
Fvb1-1,augustus_masked-Fvb1-1-processed-gene-118.1,11805143,11805695,1000,LTR_right,0.734
Fvb1-1,maker-Fvb1-1-augustus-gene-119.35,11982058,11986304,1000,LTR_right,0.4605
Fvb1-1,maker-Fvb1-1-snap-gene-122.47,12268192,12271543,1000,LTR_right,0.256
Fvb1-1,augustus_masked-Fvb1-1-processed-gene-123.4,12346605,12352666,1000,LTR_right,0.452
Fvb1-1,snap_masked-Fvb1-1-processed-gene-123.21,12346869,12347918,1000,LTR_right,0.301
Fvb1-1,maker-Fvb1-1-snap-gene-123.37,12361315,12363591,1000,LTR_right,0.523
Fvb1-1,maker-Fvb1-1-augustus-gene-123.29,12382223,12384539,1000,LTR_right,0.28
Fvb1-1,maker-Fvb1-1-snap-gene-125.28,12504581,12506193,1000,LTR_right,0.786
Fvb1-1,maker-Fvb1-1-snap-gene-125.35,12574424,12580147,1000,LTR_right,0.354
Fvb1-1,maker-Fvb1-1-augustus-gene-127.22,12708791,12710945,1000,LTR_right,0.5055
Fvb1-1,maker-Fvb1-1-snap-gene-128.47,12876464,12878338,1000,LTR_right,0.553
Fvb1-1,augustus_masked-Fvb1-1-processed-gene-130.4,13022311,13022850,1000,LTR_right,0.3345
Fvb1-1,maker-Fvb1-1-augustus-gene-131.32,13159546,13160943,1000,LTR_right,0.2495
Fvb1-1,maker-Fvb1-1-snap-gene-131.46,13161362,13162996,1000,LTR_right,0.479
Fvb1-1,augustus_masked-Fvb1-1-processed-gene-131.12,13182229,13183655,1000,LTR_right,0.256
Fvb1-1,maker-Fvb1-1-snap-gene-132.18,13268716,13274059,1000,LTR_right,0.2805
Fvb1-1,maker-Fvb1-1-augustus-gene-133.36,13301677,13303447,1000,LTR_right,0.4945
Fvb1-1,maker-Fvb1-1-snap-gene-133.57,13323927,13324269,1000,LTR_right,0.316
Fvb1-1,maker-Fvb1-1-augustus-gene-133.45,13329107,13332655,1000,LTR_right,0.2655
Fvb1-1,augustus_masked-Fvb1-1-processed-gene-133.10,13373357,13374151,1000,LTR_right,0.291
Fvb1-1,maker-Fvb1-1-snap-gene-134.27,13443440,13444573,1000,LTR_right,0.293
Fvb1-1,maker-Fvb1-1-snap-gene-134.36,13475069,13476979,1000,LTR_right,0.332
Fvb1-1,maker-Fvb1-1-snap-gene-136.42,13682395,13686221,1000,LTR_right,0.4695
Fvb1-1,snap_masked-Fvb1-1-processed-gene-138.12,13799883,13801594,1000,LTR_right,0.5
Fvb1-1,maker-Fvb1-1-snap-gene-139.18,13899904,13911034,1000,LTR_right,0.34
Fvb1-1,maker-Fvb1-1-augustus-gene-139.15,13937473,13940292,1000,LTR_right,0.4995
Fvb1-1,maker-Fvb1-1-snap-gene-140.30,14018125,14019593,1000,LTR_right,0.269
Fvb1-1,maker-Fvb1-1-snap-gene-141.21,14101765,14103704,1000,LTR_right,0.2495
Fvb1-1,maker-Fvb1-1-augustus-gene-141.20,14137376,14145397,1000,LTR_right,0.3455
Fvb1-1,augustus_masked-Fvb1-1-processed-gene-142.6,14270776,14271690,1000,LTR_right,0.388
Fvb1-1,maker-Fvb1-1-augustus-gene-144.22,14415034,14424451,1000,LTR_right,0.501
Fvb1-1,maker-Fvb1-1-snap-gene-144.29,14479539,14480494,1000,LTR_right,0.333
Fvb1-1,maker-Fvb1-1-snap-gene-145.55,14573734,14578035,1000,LTR_right,0.532
Fvb1-1,maker-Fvb1-1-snap-gene-145.56,14578799,14580812,1000,LTR_right,0.386
Fvb1-1,augustus_masked-Fvb1-1-processed-gene-146.2,14609717,14610100,1000,LTR_right,0.253
Fvb1-1,maker-Fvb1-1-snap-gene-146.29,14631000,14641477,1000,LTR_right,0.5005
Fvb1-1,maker-Fvb1-1-snap-gene-146.32,14642576,14642951,1000,LTR_right,0.299
Fvb1-1,maker-Fvb1-1-snap-gene-146.33,14642970,14643515,1000,LTR_right,0.3585
Fvb1-1,maker-Fvb1-1-snap-gene-148.28,14823110,14824780,1000,LTR_right,0.678
Fvb1-1,maker-Fvb1-1-snap-gene-148.29,14824790,14825206,1000,LTR_right,0.4965
Fvb1-1,augustus_masked-Fvb1-1-processed-gene-149.7,14956195,14956650,1000,LTR_right,0.4325
Fvb1-1,maker-Fvb1-1-snap-gene-151.39,15075936,15086696,1000,LTR_right,0.5
Fvb1-1,maker-Fvb1-1-augustus-gene-151.38,15161384,15169604,1000,LTR_right,0.3975
Fvb1-1,maker-Fvb1-1-augustus-gene-152.24,15237886,15241436,1000,LTR_right,0.3505
Fvb1-1,maker-Fvb1-1-augustus-gene-154.28,15428571,15428942,1000,LTR_right,0.46
Fvb1-1,maker-Fvb1-1-snap-gene-154.40,15445041,15447208,1000,LTR_right,0.3765
Fvb1-1,maker-Fvb1-1-snap-gene-156.33,15657900,15658427,1000,LTR_right,0.2695
Fvb1-1,snap_masked-Fvb1-1-processed-gene-158.11,15795853,15797581,1000,LTR_right,0.662
Fvb1-1,snap_masked-Fvb1-1-processed-gene-158.22,15865252,15867303,1000,LTR_right,0.291
Fvb1-1,maker-Fvb1-1-snap-gene-158.35,15872406,15875425,1000,LTR_right,0.2585
Fvb1-1,maker-Fvb1-1-snap-gene-158.36,15875440,15875815,1000,LTR_right,0.4535
Fvb1-1,maker-Fvb1-1-augustus-gene-160.40,16017083,16024019,1000,LTR_right,0.6195
Fvb1-1,maker-Fvb1-1-snap-gene-160.46,16024849,16025125,1000,LTR_right,0.411
Fvb1-1,maker-Fvb1-1-augustus-gene-162.15,16202908,16203649,1000,LTR_right,0.3405
Fvb1-1,maker-Fvb1-1-snap-gene-162.25,16274156,16275687,1000,LTR_right,0.47
Fvb1-1,maker-Fvb1-1-snap-gene-163.34,16337476,16341878,1000,LTR_right,0.5075
Fvb1-1,maker-Fvb1-1-augustus-gene-164.42,16455900,16458336,1000,LTR_right,0.353
Fvb1-1,maker-Fvb1-1-snap-gene-166.26,16594984,16600859,1000,LTR_right,0.5
Fvb1-1,snap_masked-Fvb1-1-processed-gene-166.12,16651425,16653739,1000,LTR_right,0.3545
Fvb1-1,maker-Fvb1-1-snap-gene-167.50,16753846,16754733,1000,LTR_right,0.4725
Fvb1-1,maker-Fvb1-1-snap-gene-168.35,16881994,16884179,1000,LTR_right,0.5355
Fvb1-1,maker-Fvb1-1-augustus-gene-169.34,16917254,16917994,1000,LTR_right,0.3015
Fvb1-1,snap_masked-Fvb1-1-processed-gene-170.13,17043829,17050551,1000,LTR_right,0.4805
Fvb1-1,augustus_masked-Fvb1-1-processed-gene-171.0,17087458,17087910,1000,LTR_right,0.3555
Fvb1-1,augustus_masked-Fvb1-1-processed-gene-171.1,17087935,17088675,1000,LTR_right,0.5
Fvb1-1,augustus_masked-Fvb1-1-processed-gene-171.2,17088717,17090350,1000,LTR_right,0.403
Fvb1-1,augustus_masked-Fvb1-1-processed-gene-171.8,17158746,17162762,1000,LTR_right,0.274
Fvb1-1,maker-Fvb1-1-augustus-gene-172.33,17233102,17234550,1000,LTR_right,0.288
Fvb1-1,augustus_masked-Fvb1-1-processed-gene-173.3,17322427,17323983,1000,LTR_right,0.405
Fvb1-1,augustus_masked-Fvb1-1-processed-gene-174.0,17384060,17384961,1000,LTR_right,0.627
Fvb1-1,snap_masked-Fvb1-1-processed-gene-174.22,17401585,17404672,1000,LTR_right,0.339
Fvb1-1,augustus_masked-Fvb1-1-processed-gene-174.5,17428189,17428722,1000,LTR_right,0.2665
Fvb1-1,snap_masked-Fvb1-1-processed-gene-174.27,17446743,17448958,1000,LTR_right,0.243
Fvb1-1,augustus_masked-Fvb1-1-processed-gene-174.12,17461354,17461992,1000,LTR_right,0.681
Fvb1-1,maker-Fvb1-1-augustus-gene-177.38,17684820,17689970,1000,LTR_right,0.5795
Fvb1-1,snap_masked-Fvb1-1-processed-gene-177.24,17706372,17709141,1000,LTR_right,0.26
Fvb1-1,maker-Fvb1-1-snap-gene-177.49,17747668,17751581,1000,LTR_right,0.3445
Fvb1-1,maker-Fvb1-1-snap-gene-178.39,17791471,17800780,1000,LTR_right,0.352
Fvb1-1,maker-Fvb1-1-augustus-gene-178.34,17850350,17852215,1000,LTR_right,0.3165
Fvb1-1,augustus_masked-Fvb1-1-processed-gene-179.7,17909742,17916326,1000,LTR_right,0.325
Fvb1-1,maker-Fvb1-1-augustus-gene-179.34,17979312,17981525,1000,LTR_right,0.5
Fvb1-1,augustus_masked-Fvb1-1-processed-gene-180.7,18008069,18011956,1000,LTR_right,0.467
Fvb1-1,maker-Fvb1-1-snap-gene-180.41,18033234,18039667,1000,LTR_right,0.4425
Fvb1-1,augustus_masked-Fvb1-1-processed-gene-181.3,18107005,18107274,1000,LTR_right,0.251
Fvb1-1,augustus_masked-Fvb1-1-processed-gene-182.11,18242685,18245190,1000,LTR_right,0.331
Fvb1-1,snap_masked-Fvb1-1-processed-gene-182.33,18277714,18281485,1000,LTR_right,0.2595
Fvb1-1,maker-Fvb1-1-snap-gene-182.43,18281108,18281395,1000,LTR_right,0.2485
Fvb1-1,maker-Fvb1-1-snap-gene-183.41,18320043,18320397,1000,LTR_right,0.319
Fvb1-1,maker-Fvb1-1-snap-gene-183.53,18321646,18325541,1000,LTR_right,0.41
Fvb1-1,maker-Fvb1-1-snap-gene-184.44,18405616,18406619,1000,LTR_right,0.272
Fvb1-1,augustus_masked-Fvb1-1-processed-gene-184.7,18426603,18427379,1000,LTR_right,0.2645
Fvb1-1,augustus_masked-Fvb1-1-processed-gene-184.8,18438418,18440734,1000,LTR_right,0.6255
Fvb1-1,snap_masked-Fvb1-1-processed-gene-184.19,18441761,18448298,1000,LTR_right,0.473
Fvb1-1,maker-Fvb1-1-snap-gene-185.44,18506592,18513479,1000,LTR_right,0.4705
Fvb1-1,maker-Fvb1-1-snap-gene-186.52,18608745,18611950,1000,LTR_right,0.2485
Fvb1-1,augustus_masked-Fvb1-1-processed-gene-186.8,18671230,18672188,1000,LTR_right,0.4155
Fvb1-1,augustus_masked-Fvb1-1-processed-gene-188.4,18823329,18823628,1000,LTR_right,0.326
Fvb1-1,maker-Fvb1-1-augustus-gene-188.43,18845012,18846726,1000,LTR_right,0.5
Fvb1-1,maker-Fvb1-1-augustus-gene-189.33,18978357,18982035,1000,LTR_right,0.5
Fvb1-1,maker-Fvb1-1-snap-gene-190.42,19044151,19053985,1000,LTR_right,0.399
Fvb1-1,snap_masked-Fvb1-1-processed-gene-190.29,19054940,19057813,1000,LTR_right,0.5
Fvb1-1,maker-Fvb1-1-augustus-gene-191.27,19133551,19136969,1000,LTR_right,0.2685
Fvb1-1,augustus_masked-Fvb1-1-processed-gene-191.9,19155109,19155852,1000,LTR_right,0.2735
Fvb1-1,maker-Fvb1-1-snap-gene-192.66,19220118,19232930,1000,LTR_right,0.4485
Fvb1-1,maker-Fvb1-1-augustus-gene-194.23,19472997,19476461,1000,LTR_right,0.5
Fvb1-1,augustus_masked-Fvb1-1-processed-gene-195.0,19489819,19491171,1000,LTR_right,0.38
Fvb1-1,snap_masked-Fvb1-1-processed-gene-195.13,19525578,19528649,1000,LTR_right,0.2835
Fvb1-1,maker-Fvb1-1-augustus-gene-195.32,19569858,19573989,1000,LTR_right,0.5695
Fvb1-1,maker-Fvb1-1-augustus-gene-200.41,19990637,19996073,1000,LTR_right,0.427
Fvb1-1,augustus_masked-Fvb1-1-processed-gene-200.14,20072605,20073600,1000,LTR_right,0.2495
Fvb1-1,snap_masked-Fvb1-1-processed-gene-201.31,20113929,20114751,1000,LTR_right,0.3535
Fvb1-1,maker-Fvb1-1-snap-gene-201.57,20120436,20121315,1000,LTR_right,0.383
Fvb1-1,snap_masked-Fvb1-1-processed-gene-201.33,20153183,20154289,1000,LTR_right,0.266
Fvb1-1,maker-Fvb1-1-augustus-gene-201.49,20155474,20156594,1000,LTR_right,0.2795
Fvb1-1,maker-Fvb1-1-snap-gene-202.63,20223667,20226349,1000,LTR_right,0.469
Fvb1-1,maker-Fvb1-1-snap-gene-203.45,20296572,20296950,1000,LTR_right,0.449
Fvb1-1,maker-Fvb1-1-snap-gene-203.43,20345701,20349029,1000,LTR_right,0.391
Fvb1-1,augustus_masked-Fvb1-1-processed-gene-204.0,20386707,20392909,1000,LTR_right,0.46
Fvb1-1,maker-Fvb1-1-snap-gene-207.51,20745533,20748559,1000,LTR_right,0.5
Fvb1-1,snap_masked-Fvb1-1-processed-gene-207.22,20756183,20761597,1000,LTR_right,0.3115
Fvb1-1,maker-Fvb1-1-snap-gene-210.50,21004862,21008067,1000,LTR_right,0.2485
Fvb1-1,augustus_masked-Fvb1-1-processed-gene-211.6,21123384,21124493,1000,LTR_right,0.24
